Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8445,Lambunopali,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.316944444444444,122.43027777777779"
8738,Oempu,"",SULAWESI TENGGARA,Kab. BUTON UTARA,"","","-4.6658333333333335,123.19277777777778"
8279,Kalekalei Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.93698,122.76238"
8302,Lamanukia Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885833333333333,122.74444444444444"
8276,Kabarigau,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885,122.74166666666667"
8559,Lakempa,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.461388888888889,123.7775"
8583,Moromaho,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-6.118611111111111,124.60749999999999"
8375,Rengku Luar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.902950000000001,122.76805555555555"
8225,Lima,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.1688888888888895,121.39083333333333"
8309,Lasaido Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.861111111111111,122.735"
8256,Bontubontu Barat,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.593611111111111,122.71138888888889"
8306,Laokusi,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.96472,122.73361111111112"
8467,Burung ,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.246246111111112,122.91109194444445"
8297,Lagili Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.87103,122.7388888888889"
8416,Wause,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.910783333333334,122.75666666666666"
8290,Kolowa Barat,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.948033333333334,122.75941666666667"
8461,Talaga Kidino,Talaga Kecil,SULAWESI TENGGARA,Kab. BUTON,"",5° 28' 56.000,""
8280,Kasasi Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.927933333333334,122.76431666666667"
8498,Basah,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-4.8374999999999995,121.51"
8702,Lohomalalan Utara,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.503231388888889,122.44970777777777"
8656,Watutalatala,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.385833333333334,123.59666666666666"
8707,Mauang Basah,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4891666666666667,122.46361111111112"
8681,Batumapara Matengnga,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4905555555555554,122.42"
8564,Lamba,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.475555555555555,123.77888888888889"
8474,Kapal Timur,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.129096666666666,122.8908488888889"
8574,Lentea Tomia,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.813006111111111,123.92861333333333"
8442,La Daru,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.341111111111111,122.49861111111112"
8595,Patuno Nua,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.245,123.57666666666667"
8609,Sampua Bahili Tolu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.592499999999999,123.825"
8281,Kasasi Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9319444444444445,122.7625"
8228,Pisang,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-3.870277777777778,121.22416666666666"
8487,Watulumango Utara,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.225944444444445,122.90404111111111"
8274,Indo,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.6819444444444445,122.43111111111112"
8747,Batukapal,"",SULAWESI TENGGARA,KOTA BAUBAU,"","","-5.335938333333333,122.64851083333333"
8332,Lumuna Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.686111111111112,122.41583333333334"
8425,Batusaangu,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.2475000000000005,123.18555555555555"
8731,Kapola,"",SULAWESI TENGGARA,Kab. BUTON UTARA,"","","-4.774444444444445,123.14611111111111"
8230,Bokori,"",SULAWESI TENGGARA,Kab. KONAWE,"","","-3.9415013888888892,122.66435722222222"
8260,Djongkere Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.915483333333333,122.76156666666667"
8329,Liwuwandala Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.902950000000001,122.76206666666667"
8220,Kukusan,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.154722222222222,121.48388888888888"
