Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
7555,Kalalung Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4330555555555556,121.78861111111111"
7102,Binotik,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.7652777777777777,123.32638888888889"
6814,Ulubasai,"",SULAWESI TENGAH,Kab. DONGGALA,"","","-0.01888888888888889,119.79555555555555"
7869,Uadele,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.22138888888888889,122.17611111111111"
7147,Kaopaisu,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4530555555555555,123.26305555555555"
7113,Bolonan Totonggo,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.608888888888889,123.21055555555556"
7248,Palupalu,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4236111111111112,123.2863888888889"
7765,Rompoiladan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4986625,121.74176916666667"
7757,Poya Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.53567,121.65966083333333"
7783,Silendo Selatan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4352777777777778,121.93555555555555"
6779,Tumaisahali Dakadaka,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.8941666666666667,123.07083333333333"
7434,Barussu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4325,122.10972222222222"
7598,Kem Besar,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4657908333333333,121.6934888888889"
6846,Pulaudua Timur,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.98,120.71277777777777"
7733,Patola,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5758333333333333,121.67416666666666"
6769,Rua Morio,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.8302777777777778,123.45"
7633,Laodo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.25027777777777777,122.14583333333334"
6898,Batu,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.9366666666666668,121.51555555555555"
6912,Buaya,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.054444444444444,122.48361111111112"
7825,Tilupang,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.33638888888888885,121.9088888888889"
7582,Kayome Empat,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.41750000000000004,121.76527777777778"
7035,Tengah,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.3777777777777778,122.60416666666666"
7697,Ngek,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4627777777777778,121.71972222222223"
6801,Maputi,"",SULAWESI TENGAH,Kab. DONGGALA,"","","0.5227777777777778,119.86416666666666"
6948,Kubur,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.7075,121.88944444444445"
7857,Towo Barat,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.41361111111111115,122.14555555555556"
7801,Takuhak,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.21861111111111112,122.26472222222222"
7103,Bittinabolonan,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-2.088888888888889,123.91916666666667"
7640,Liutonmantamantan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4649008333333333,121.7193013888889"
7214,Mamuda,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9541666666666666,123.6388888888889"
6845,Pulaudua Barat,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.9802777777777778,120.70861111111111"
6795,Labolong,"",SULAWESI TENGAH,Kab. DONGGALA,"","","-0.04722222222222222,119.80527777777777"
7593,Kayomeriraya Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4197222222222222,121.76944444444445"
7734,Patoyan Delapan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4330555555555556,121.755"
7097,Batupandak,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.3222222222222222,123.19444444444444"
7547,Jobong Dikki,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.42694444444444446,122.11861111111111"
7477,Buloko Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.31027777777777776,122.23444444444445"
7610,Koulu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.44052694444444446,122.06817055555555"
7832,Tinopolan Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5116666666666667,121.74715083333334"
7415,Antara Kecil,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.34055555555555556,121.88333333333334"
7169,Koyobunga,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.6172222222222223,123.1913888888889"
7244,Noutas,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.503611111111111,122.77944444444444"
7609,Kopa,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4416666666666667,122.07027777777778"
6967,Lombokita,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.271111111111111,122.42083333333333"
7437,Batongo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.36527777777777776,121.85555555555555"
7504,Do'o,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.45805555555555555,121.92222222222223"
6839,Malamdigo,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.9652777777777777,120.3475"
7692,Ngak Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.505,121.7611111111111"
7290,Sapili,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.531111111111111,122.78805555555556"
7465,Bonde,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47560694444444446,121.6973763888889"
7703,Pabure,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.43444444444444447,121.78601555555555"
7084,Batuanyur,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.8105555555555557,124.02527777777777"
7047,Umbele,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.068611111111111,122.4738888888889"
7625,Kunau,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.45472222222222225,121.75833333333334"
7405,Alo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.33555555555555555,121.9075"
7188,Lesampuanmarintas,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-2.1713888888888886,123.67166666666667"
6916,Bungko,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.9333333333333333,121.36222222222221"
7815,Taupan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5891666666666667,121.62722222222222"
7144,Kaliabukoti,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4991666666666668,122.81444444444445"
6992,Padei Laut,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.5475,123.03999999999999"
7674,Mmbo Keje,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.43353833333333336,122.07061222222222"
6788,Bogoang,"",SULAWESI TENGAH,Kab. DONGGALA,"","","0.7369444444444444,120.05638888888889"
7205,Lomunan,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.948611111111111,123.19805555555556"
7735,Patoyan Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.46,121.76138888888889"
7864,Tupai Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5388888888888889,121.65527777777778"
7833,Tira,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4052777777777778,121.82666666666667"
6752,Daka Togong,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.6122222222222222,123.35027777777778"
7417,Bado,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.46576194444444446,121.72311888888889"
7027,Sumba,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.271111111111111,122.39555555555556"
6873,Lemari,"",SULAWESI TENGAH,Kab. BUOL,"","","1.0619444444444446,122.11416666666666"
6872,Kuyup,"",SULAWESI TENGAH,Kab. BUOL,"","","1.0597222222222222,121.95916666666668"
7695,Ngak Tiga,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5047222222222222,121.76194444444444"
7425,Bandi,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5047080555555555,121.73800416666667"
6782,Uwebulung,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.8866666666666666,123.07638888888889"
7073,Balebe,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.3319444444444444,123.20166666666667"
7416,Antara,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.3408333333333333,121.88388888888889"
7183,Lapidatapalan,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.3258333333333334,123.20583333333333"
